Configuration,SIZE,Posit_FFT,Float_FFT,Posit_IFFT,Float_IFFT,Posit_SIN,Float_SIN,Posit_COS,Float_COS,Type,Label
TERMS_3_N_28_ES_1_SIZE_256_APP,256,52.366,54.4373,14.6922,14.744,140.504,139.952,138.95,138.799,APP,"T:3 (28,1)"
TERMS_3_N_28_ES_1_SIZE_256_NAPP,256,55.5515,58.4863,17.1659,17.2121,140.363,140.277,139.607,139.547,NAPP,"T:3 (28,1)"
TERMS_3_N_28_ES_1_SIZE_64_APP,64,78.7188,86.8822,19.2959,19.3456,140.79,139.943,139.074,138.827,APP,"T:3 (28,1)"
TERMS_3_N_28_ES_1_SIZE_64_NAPP,64,79.4199,87.6728,28.9821,28.9418,140.261,140.038,139.602,139.461,NAPP,"T:3 (28,1)"
TERMS_3_N_28_ES_2_SIZE_128_APP,128,53.3041,62.027,17.0955,17.1291,134.13,140.065,132.319,139.159,APP,"T:3 (28,2)"
TERMS_3_N_28_ES_2_SIZE_128_NAPP,128,58.7955,67.4045,22.6626,22.718,134.265,140.122,133.122,139.845,NAPP,"T:3 (28,2)"
TERMS_3_N_28_ES_2_SIZE_256_APP,256,48.7092,54.4373,14.6734,14.744,133.898,139.952,132.207,138.799,APP,"T:3 (28,2)"
TERMS_3_N_28_ES_2_SIZE_256_NAPP,256,50.304,58.4863,17.1292,17.2121,134.033,140.277,132.972,139.547,NAPP,"T:3 (28,2)"
TERMS_3_N_28_ES_2_SIZE_64_APP,64,73.9467,86.8822,19.2938,19.3456,133.88,139.943,133.427,138.827,APP,"T:3 (28,2)"
TERMS_3_N_28_ES_2_SIZE_64_NAPP,64,74.6181,87.6728,28.9718,28.9418,133.467,140.038,133.978,139.461,NAPP,"T:3 (28,2)"
TERMS_3_N_32_ES_0_SIZE_128_APP,128,99.9933,62.027,17.1072,17.1291,171.218,140.065,169.874,139.159,APP,"T:3 (32,0)"
TERMS_3_N_32_ES_0_SIZE_128_NAPP,128,100.697,67.4045,22.7035,22.718,171.251,140.122,170.702,139.845,NAPP,"T:3 (32,0)"
TERMS_3_N_32_ES_0_SIZE_256_APP,256,67.4581,54.4373,14.7113,14.744,171.536,139.952,169.163,138.799,APP,"T:3 (32,0)"
TERMS_3_N_32_ES_0_SIZE_256_NAPP,256,74.18,58.4863,17.2019,17.2121,171.816,140.277,169.884,139.547,NAPP,"T:3 (32,0)"
TERMS_3_N_32_ES_0_SIZE_64_APP,64,109.427,86.8822,19.2975,19.3456,171.295,139.943,169.945,138.827,APP,"T:3 (32,0)"
TERMS_3_N_32_ES_0_SIZE_64_NAPP,64,110.076,87.6728,28.9926,28.9418,171.41,140.038,170.797,139.461,NAPP,"T:3 (32,0)"
TERMS_3_N_32_ES_1_SIZE_128_APP,128,93.9396,62.027,17.107,17.1291,166.276,140.065,164.025,139.159,APP,"T:3 (32,1)"
TERMS_3_N_32_ES_1_SIZE_128_NAPP,128,94.6523,67.4045,22.7029,22.718,166.215,140.122,164.368,139.845,NAPP,"T:3 (32,1)"
TERMS_3_N_32_ES_1_SIZE_256_APP,256,62.4419,54.4373,14.7106,14.744,166.398,139.952,164.1,138.799,APP,"T:3 (32,1)"
TERMS_3_N_32_ES_1_SIZE_256_NAPP,256,68.4447,58.4863,17.2007,17.2121,166.624,140.277,164.617,139.547,NAPP,"T:3 (32,1)"
TERMS_3_N_32_ES_1_SIZE_64_APP,64,104.308,86.8822,19.2975,19.3456,165.982,139.943,164.645,138.827,APP,"T:3 (32,1)"
TERMS_3_N_32_ES_1_SIZE_64_NAPP,64,104.963,87.6728,28.9923,28.9418,165.997,140.038,164.831,139.461,NAPP,"T:3 (32,1)"
TERMS_3_N_32_ES_2_SIZE_128_APP,128,87.932,62.027,17.1066,17.1291,160.599,140.065,157.602,139.159,APP,"T:3 (32,2)"
TERMS_3_N_32_ES_2_SIZE_128_NAPP,128,88.6526,67.4045,22.7015,22.718,160.76,140.122,158.21,139.845,NAPP,"T:3 (32,2)"
TERMS_3_N_32_ES_2_SIZE_256_APP,256,60.7242,54.4373,14.7092,14.744,160.885,139.952,157.752,138.799,APP,"T:3 (32,2)"
TERMS_3_N_32_ES_2_SIZE_256_NAPP,256,66.1402,58.4863,17.1982,17.2121,160.814,140.277,158.468,139.547,NAPP,"T:3 (32,2)"
TERMS_3_N_32_ES_2_SIZE_64_APP,64,99.2948,86.8822,19.2974,19.3456,160.056,139.943,159.013,138.827,APP,"T:3 (32,2)"
TERMS_3_N_32_ES_2_SIZE_64_NAPP,64,99.988,87.6728,28.9916,28.9418,160.115,140.038,159.529,139.461,NAPP,"T:3 (32,2)"
TERMS_4_N_24_ES_0_SIZE_128_APP,128,48.0358,59.6294,17.1557,17.2179,122.402,139.874,119.366,138.778,APP,"T:4 (24,0)"
TERMS_4_N_24_ES_0_SIZE_128_NAPP,128,51.6881,72.7325,22.6224,22.7578,70.0227,139.782,119.875,139.592,NAPP,"T:4 (24,0)"
TERMS_4_N_24_ES_0_SIZE_256_APP,256,37.4442,52.2198,14.5659,14.7867,122.199,139.818,119.626,138.577,APP,"T:4 (24,0)"
TERMS_4_N_24_ES_0_SIZE_256_NAPP,256,39.0324,61.7012,16.8308,17.1588,70.2216,139.916,120.226,139.083,NAPP,"T:4 (24,0)"
TERMS_4_N_24_ES_0_SIZE_64_APP,64,63.1741,86.6896,19.3842,19.4442,123.11,139.772,120.905,138.623,APP,"T:4 (24,0)"
TERMS_4_N_24_ES_0_SIZE_64_NAPP,64,63.7619,87.3886,28.8001,28.8684,69.3122,139.498,121.29,139.573,NAPP,"T:4 (24,0)"
TERMS_4_N_24_ES_1_SIZE_128_APP,128,43.5475,59.6294,17.1041,17.2179,116.178,139.874,114.403,138.778,APP,"T:4 (24,1)"
TERMS_4_N_24_ES_1_SIZE_128_NAPP,128,45.1707,72.7325,22.4481,22.7578,74.0623,139.782,115.002,139.592,NAPP,"T:4 (24,1)"
TERMS_4_N_24_ES_1_SIZE_256_APP,256,32.5473,52.2198,14.3354,14.7867,116.146,139.818,115.576,138.577,APP,"T:4 (24,1)"
